sample_old	sample_id
TCGA-B6-A401-01A-11D-A238-01	TCGA-B6-A401
TCGA-A2-A0T4-01A-31D-A087-01	TCGA-A2-A0T4
TCGA-AR-A251-01A-12D-A166-01	TCGA-AR-A251
TCGA-AR-A1AU-01A-11D-A12N-01	TCGA-AR-A1AU
TCGA-D8-A1XY-01A-11D-A14J-01	TCGA-D8-A1XY
TCGA-C8-A1HN-01A-11D-A134-01	TCGA-C8-A1HN
TCGA-B6-A2IU-01A-32D-A18N-01	TCGA-B6-A2IU
TCGA-AC-A7VC-01A-11D-A350-01	TCGA-AC-A7VC
TCGA-BH-A0C3-01A-21D-A12N-01	TCGA-BH-A0C3
TCGA-AC-A2FM-01A-11D-A19X-01	TCGA-AC-A2FM
TCGA-A2-A3XZ-01A-42D-A238-01	TCGA-A2-A3XZ
TCGA-B6-A1KI-01A-11D-A14J-01	TCGA-B6-A1KI
TCGA-A2-A0YL-01A-21D-A107-01	TCGA-A2-A0YL
TCGA-D8-A4Z1-01A-21D-A25N-01	TCGA-D8-A4Z1
TCGA-E2-A1B6-01A-31D-A12N-01	TCGA-E2-A1B6
TCGA-BH-A0C0-01A-21D-A059-01	TCGA-BH-A0C0
TCGA-E2-A1LE-01A-12D-A19X-01	TCGA-E2-A1LE
TCGA-BH-A1F5-01A-12D-A13J-01	TCGA-BH-A1F5
TCGA-GM-A4E0-01A-12D-A25N-01	TCGA-GM-A4E0
TCGA-BH-A204-01A-11D-A160-01	TCGA-BH-A204
TCGA-LL-A9Q3-01A-11D-A41E-01	TCGA-LL-A9Q3
TCGA-EW-A1IZ-01A-11D-A13J-01	TCGA-EW-A1IZ
TCGA-A7-A5ZV-01A-11D-A28A-01	TCGA-A7-A5ZV
TCGA-A8-A08O-01A-21D-A059-01	TCGA-A8-A08O
TCGA-AN-A0XR-01A-11D-A107-01	TCGA-AN-A0XR
TCGA-AR-A0TZ-01A-12D-A087-01	TCGA-AR-A0TZ
TCGA-D8-A27N-01A-11D-A16C-01	TCGA-D8-A27N
TCGA-BH-A0HA-01A-11D-A12N-01	TCGA-BH-A0HA
TCGA-B6-A400-01A-11D-A238-01	TCGA-B6-A400
TCGA-D8-A1JH-01A-11D-A13J-01	TCGA-D8-A1JH
TCGA-AO-A12B-01A-11D-A10L-01	TCGA-AO-A12B
TCGA-A7-A426-01A-22D-A242-01	TCGA-A7-A426
TCGA-C8-A1HE-01A-11D-A13J-01	TCGA-C8-A1HE
TCGA-A1-A0SK-01A-12D-A087-01	TCGA-A1-A0SK
TCGA-LD-A9QF-01A-32D-A41E-01	TCGA-LD-A9QF
TCGA-E2-A1LB-01A-11D-A141-01	TCGA-E2-A1LB
TCGA-MS-A51U-01A-31D-A25N-01	TCGA-MS-A51U
TCGA-A2-A04R-01A-41D-A107-01	TCGA-A2-A04R
TCGA-BH-A0HP-01A-12D-A087-01	TCGA-BH-A0HP
TCGA-E2-A570-01A-11D-A29M-01	TCGA-E2-A570
TCGA-E9-A1RI-01A-11D-A166-01	TCGA-E9-A1RI
TCGA-D8-A1XB-01A-11D-A14F-01	TCGA-D8-A1XB
TCGA-AR-A24Q-01A-12D-A166-01	TCGA-AR-A24Q
TCGA-BH-A203-01A-12D-A166-01	TCGA-BH-A203
TCGA-AO-A0JM-01A-21D-A059-01	TCGA-AO-A0JM
TCGA-AO-A1KR-01A-12D-A141-01	TCGA-AO-A1KR
TCGA-LD-A74U-01A-13D-A33D-01	TCGA-LD-A74U
TCGA-D8-A27F-01A-11D-A16C-01	TCGA-D8-A27F
TCGA-E9-A249-01A-11D-A166-01	TCGA-E9-A249
TCGA-EW-A1OW-01A-21D-A141-01	TCGA-EW-A1OW
TCGA-Z7-A8R6-01A-11D-A41E-01	TCGA-Z7-A8R6
TCGA-E9-A3X8-01A-31D-A22W-01	TCGA-E9-A3X8
TCGA-A2-A0CO-01A-13D-A227-01	TCGA-A2-A0CO
TCGA-E9-A22B-01A-11D-A160-01	TCGA-E9-A22B
TCGA-EW-A1PE-01A-11D-A141-01	TCGA-EW-A1PE
TCGA-A7-A6VV-01A-22D-A33D-01	TCGA-A7-A6VV
TCGA-E9-A5FL-01A-11D-A27O-01	TCGA-E9-A5FL
TCGA-AR-A5QN-01A-12D-A28A-01	TCGA-AR-A5QN
TCGA-A7-A3J0-01A-11D-A20R-01	TCGA-A7-A3J0
TCGA-A2-A0EN-01A-13D-A087-01	TCGA-A2-A0EN
TCGA-C8-A26W-01A-11D-A16C-01	TCGA-C8-A26W
TCGA-A2-A3XX-01A-21D-A238-01	TCGA-A2-A3XX
TCGA-3C-AALK-01A-11D-A41E-01	TCGA-3C-AALK
TCGA-BH-A0HX-01A-21D-A059-01	TCGA-BH-A0HX
TCGA-D8-A1XV-01A-11D-A14J-01	TCGA-D8-A1XV
TCGA-BH-A5IZ-01A-11D-A27O-01	TCGA-BH-A5IZ
TCGA-A2-A4S0-01A-21D-A25N-01	TCGA-A2-A4S0
TCGA-AC-A8OR-01A-21D-A41E-01	TCGA-AC-A8OR
TCGA-E9-A229-01A-31D-A160-01	TCGA-E9-A229
TCGA-D8-A27V-01A-12D-A17C-01	TCGA-D8-A27V
TCGA-AR-A2LK-01A-11D-A17U-01	TCGA-AR-A2LK
TCGA-AR-A1AO-01A-11D-A12N-01	TCGA-AR-A1AO
TCGA-E2-A1LK-01A-21D-A14F-01	TCGA-E2-A1LK
