sample_old	sample_id
TCGA-E9-A1R5-01A-11R-A14M-07	TCGA-E9-A1R5
TCGA-E2-A1L6-01A-11R-A13Q-07	TCGA-E2-A1L6
TCGA-AO-A0JC-01A-11R-A056-07	TCGA-AO-A0JC
TCGA-E2-A1LB-01A-11R-A144-07	TCGA-E2-A1LB
TCGA-E9-A54Y-01A-11R-A466-07	TCGA-E9-A54Y
TCGA-GM-A3XG-01A-31R-A24H-07	TCGA-GM-A3XG
TCGA-EW-A2FW-01A-11R-A17B-07	TCGA-EW-A2FW
TCGA-AR-A24S-01A-11R-A169-07	TCGA-AR-A24S
TCGA-OL-A97C-01A-32R-A41B-07	TCGA-OL-A97C
TCGA-AR-A2LL-01A-11R-A180-07	TCGA-AR-A2LL
TCGA-D8-A1XA-01A-11R-A14D-07	TCGA-D8-A1XA
TCGA-E2-A1B5-01A-21R-A12P-07	TCGA-E2-A1B5
TCGA-E2-A14N-01A-31R-A137-07	TCGA-E2-A14N
TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A7-A3RF
TCGA-D8-A1JA-01A-11R-A13Q-07	TCGA-D8-A1JA
TCGA-E2-A10C-01A-21R-A10J-07	TCGA-E2-A10C
TCGA-A2-A4S2-01A-12R-A266-07	TCGA-A2-A4S2
TCGA-AR-A5QM-01A-11R-A27Q-07	TCGA-AR-A5QM
TCGA-AR-A24W-01A-11R-A169-07	TCGA-AR-A24W
TCGA-AC-A3TM-01A-11R-A22K-07	TCGA-AC-A3TM
TCGA-4H-AAAK-01A-12R-A41B-07	TCGA-4H-AAAK
TCGA-D8-A27E-01A-11R-A16F-07	TCGA-D8-A27E
TCGA-C8-A8HQ-01A-11R-A36F-07	TCGA-C8-A8HQ
TCGA-B6-A0RU-01A-11R-A084-07	TCGA-B6-A0RU
TCGA-HN-A2NL-01A-11R-A18M-07	TCGA-HN-A2NL
TCGA-E2-A1II-01A-11R-A144-07	TCGA-E2-A1II
TCGA-AR-A24O-01A-11R-A169-07	TCGA-AR-A24O
TCGA-A7-A26E-01A-11R-A277-07	TCGA-A7-A26E
TCGA-GM-A2D9-01A-11R-A18M-07	TCGA-GM-A2D9
TCGA-D8-A1XY-01A-11R-A14M-07	TCGA-D8-A1XY
TCGA-EW-A1P7-01A-21R-A144-07	TCGA-EW-A1P7
TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-AC-A2FB
TCGA-E9-A1N3-01A-12R-A157-07	TCGA-E9-A1N3
TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DQ
TCGA-AC-A3BB-01A-21R-A19W-07	TCGA-AC-A3BB
TCGA-C8-A1HJ-01A-11R-A13Q-07	TCGA-C8-A1HJ
TCGA-C8-A1HL-01A-11R-A137-07	TCGA-C8-A1HL
TCGA-A2-A3XU-01A-12R-A22U-07	TCGA-A2-A3XU
TCGA-AN-A0XT-01A-11R-A109-07	TCGA-AN-A0XT
TCGA-AC-A62Y-01A-11R-A29R-07	TCGA-AC-A62Y
TCGA-GM-A2DB-01A-31R-A18M-07	TCGA-GM-A2DB
TCGA-A2-A3XY-01A-11R-A239-07	TCGA-A2-A3XY
TCGA-A2-A3KC-01A-11R-A213-07	TCGA-A2-A3KC
TCGA-AR-A1AJ-01A-21R-A12P-07	TCGA-AR-A1AJ
TCGA-OL-A66O-01A-11R-A31O-07	TCGA-OL-A66O
TCGA-AC-A3YI-01A-21R-A239-07	TCGA-AC-A3YI
TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0BT
TCGA-AO-A1KT-01A-11R-A13Q-07	TCGA-AO-A1KT
TCGA-AR-A0TT-01A-31R-A084-07	TCGA-AR-A0TT
TCGA-BH-A1FL-01A-11R-A13Q-07	TCGA-BH-A1FL
TCGA-B6-A409-01A-11R-A24H-07	TCGA-B6-A409
TCGA-E9-A248-01A-11R-A169-07	TCGA-E9-A248
TCGA-A2-A3Y0-01A-11R-A239-07	TCGA-A2-A3Y0
TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-BH-A1FH
TCGA-A7-A3IZ-01A-11R-A213-07	TCGA-A7-A3IZ
TCGA-LL-A6FR-01A-12R-A31O-07	TCGA-LL-A6FR
TCGA-E9-A22H-01A-11R-A157-07	TCGA-E9-A22H
TCGA-A1-A0SI-01A-11R-A144-07	TCGA-A1-A0SI
TCGA-AN-A0XO-01A-11R-A109-07	TCGA-AN-A0XO
TCGA-BH-A0HF-01A-11R-A056-07	TCGA-BH-A0HF
TCGA-AR-A250-01A-31R-A169-07	TCGA-AR-A250
TCGA-S3-A6ZG-01A-22R-A32P-07	TCGA-S3-A6ZG
TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-GI-A2C9
TCGA-E9-A243-01A-21R-A169-07	TCGA-E9-A243
TCGA-EW-A2FS-01A-11R-A17B-07	TCGA-EW-A2FS
