sample_id	predict_score_0	predict_score_1	predict_score_2	predict_score_3	predict_score_4	predict_score_5
NC_PKU-27	1.0	3.0315227867068473e-13	3.020278932551815e-14	6.303590895789801e-12	1.424267740421717e-13	3.5175405340218124e-13
NC_PKU-28	0.007742710877209902	0.00019507569959387183	0.0006291180616244674	0.039762232452631	0.0007473338628187776	0.950923502445221
NC_PKU-40	1.0	2.5946540055388212e-11	1.1153127033036725e-11	3.4113472047181403e-09	2.209800224750591e-11	1.0442579093106197e-11
NC_PKU-43	1.0	3.6820629878420164e-10	2.213597916078669e-10	1.226174539681324e-08	2.6434912037132108e-09	8.461729233966153e-11
NC_PKU-44	0.9296444654464722	0.002130455570295453	0.005998264066874981	0.04124939814209938	0.01869780942797661	0.002279582666233182
NC_PKU-51	0.013765402138233185	0.04861098900437355	0.01176070049405098	0.0017811094876378775	0.6124313473701477	0.31165042519569397
NC_PKU-58	0.9999454021453857	4.107014774490381e-06	3.247218273827457e-06	3.731192191480659e-05	7.254225238284562e-06	2.6601628633216023e-06
NC_PKU-69	0.47998282313346863	0.02273843251168728	0.046080589294433594	0.0971790999174118	0.305375874042511	0.04864320531487465
NC_PKU-81	0.9999986886978149	7.748335661972305e-08	5.3703612223898745e-08	1.199778466798307e-06	4.5484828348207884e-08	8.482446389734832e-08
NC_ShH-1903250135	5.944367148913443e-05	3.378555629751645e-05	1.9160426745656878e-05	0.9998090863227844	4.557639476843178e-05	3.290649692644365e-05
NC_ShH-2	1.0	2.7746231783429515e-16	4.3479752973392386e-17	4.330768599639101e-13	2.2038763642663449e-16	1.272089217591718e-17
NC_ShH-32	1.0	3.646512316223223e-20	5.385059383690562e-22	5.275738921709122e-18	1.2467407556273449e-20	4.163651175686528e-21
NC_ShH-4	1.0	1.792610408886229e-20	6.211467543645197e-22	8.429931625787139e-18	4.221224642686709e-21	9.373309394450439e-21
NC_ShH-42	1.0	1.9961337677188926e-14	6.884678289568796e-15	1.4792841951383195e-10	2.5370505324947938e-14	4.4315186201480733e-16
NC_ShH-43	0.9999998807907104	4.981485042580792e-15	1.6087332543033607e-14	1.7101501725846902e-07	2.9591221373205176e-14	6.941867618209357e-18
STAD-2163710	0.00015007652109488845	0.9822118878364563	5.099604823044501e-05	5.9304278693161905e-05	0.0088331438601017	0.008694672025740147
STAD-2374161	1.000411543827795e-06	0.000128642946947366	9.87281327979872e-06	1.729167706798762e-06	0.0010276093380525708	0.9988310933113098
STAD-2380893	3.7864534618847756e-08	0.9999920129776001	4.564232547465963e-09	2.609725591184997e-08	7.804744200257119e-06	1.7774368643586058e-07
STAD-2382823	0.0004288828931748867	0.000601251027546823	0.0010269485646858811	0.0007379844901151955	0.002037644386291504	0.9951672554016113
STAD-2387639	9.746406431077048e-05	2.803008464979939e-05	2.5569066565367393e-05	1.2146666449552868e-05	2.096743082802277e-05	0.9998158812522888
STAD-2391321	3.732401410161401e-06	0.9993765950202942	7.894635132288386e-07	1.3650935670739273e-06	0.0006064866902306676	1.104141483665444e-05
STAD-2391832	4.0838818677002564e-05	0.00014811668370384723	4.779165828949772e-05	2.0369338017189875e-05	0.00012860957940574735	0.9996142387390137
STAD-2406523	2.7195434881832625e-07	0.9998667240142822	5.393610535975313e-08	1.0250023763092031e-07	0.00013069392298348248	2.1967703105474357e-06
STAD-2409257	2.5281997295678593e-07	4.377664481580723e-06	9.244745342584793e-07	3.548832694377779e-07	3.8075834254414076e-06	0.9999902248382568
STAD-2412035	0.00370153714902699	0.0054807052947580814	0.007125630974769592	0.0032061594538390636	0.11055782437324524	0.8699281215667725
STAD-2412938	9.70305222836032e-07	1.1638507203315385e-05	8.756435363466153e-07	4.959564989803766e-07	3.715387492775335e-06	0.9999822378158569
STAD-2414120	0.000991754699498415	0.00010541595838731155	3.3438987884437665e-05	1.1254119272052776e-05	6.851773650851101e-05	0.9987896084785461
STAD-2415291	0.006236350163817406	0.09128987789154053	0.010422324761748314	0.0038842547219246626	0.2535914480686188	0.6345757246017456
STAD-2416249	0.002204233082011342	0.02179672196507454	0.007421270944178104	0.0021056118421256542	0.1365407258272171	0.8299314975738525
