initial_alias	converted_alias	name
ENSG00000221628	hsa-mir-1302-4	MIR1302-4
ENSG00000284079	hsa-mir-4775	MIR4775
ENSG00000221782	hsa-mir-548f-2	MIR548F2
ENSG00000266354	hsa-mir-4776-1	MIR4776-1
ENSG00000283637	hsa-mir-4776-2	MIR4776-2
ENSG00000265734	hsa-mir-4438	MIR4438
ENSG00000275458	hsa-mir-6809	MIR6809
ENSG00000284173	hsa-mir-6513	MIR6513
ENSG00000278524	hsa-mir-6810	MIR6810
ENSG00000199121	hsa-mir-26b	MIR26B
ENSG00000283639	hsa-mir-9500	MIR9500
ENSG00000198973	hsa-mir-375	MIR375
ENSG00000264755	hsa-mir-3131	MIR3131
ENSG00000207647	hsa-mir-153-1	MIR153-1
ENSG00000265252	hsa-mir-3132	MIR3132
ENSG00000266518	hsa-mir-4268	MIR4268
ENSG00000263828	hsa-mir-4439	MIR4439
ENSG00000263363	hsa-mir-5702	MIR5702
ENSG00000284092	hsa-mir-5703	MIR5703
ENSG00000263641	hsa-mir-4777	MIR4777
ENSG00000284378	hsa-mir-1244-1	MIR1244-1
ENSG00000222246	hsa-mir-1471	MIR1471
ENSG00000207626	hsa-mir-562	MIR562
ENSG00000284407	hsa-mir-5001	MIR5001
ENSG00000277842	hsa-mir-6811	MIR6811
ENSG00000266109	hsa-mir-4440	MIR4440
ENSG00000264810	hsa-mir-4441	MIR4441
ENSG00000265215	hsa-mir-4269	MIR4269
ENSG00000264292	hsa-mir-2467	MIR2467
ENSG00000264279	hsa-mir-4786	MIR4786
ENSG00000207611	hsa-mir-149	MIR149
ENSG00000263752	hsa-mir-3133	MIR3133
ENSG00000265180	hsa-mir-4790	MIR4790
ENSG00000264534	hsa-mir-378b	MIR378B
ENSG00000216135	hsa-mir-885	MIR885
ENSG00000263573	hsa-mir-4270	MIR4270
ENSG00000264354	hsa-mir-3134	MIR3134
ENSG00000207815	hsa-mir-563	MIR563
ENSG00000283885	hsa-mir-3714	MIR3714
ENSG00000271898	hsa-mir-4791	MIR4791
ENSG00000266745	hsa-mir-3135a	MIR3135A
ENSG00000283971	hsa-mir-4442	MIR4442
ENSG00000265376	hsa-mir-466	MIR466
ENSG00000276147	hsa-mir-548ay	MIR548AY
ENSG00000207625	hsa-mir-128-2	MIR128-2
ENSG00000199075	hsa-mir-26a-1	MIR26A1
ENSG00000284158	hsa-mir-6822	MIR6822
ENSG00000207954	hsa-mir-138-1	MIR138-1
ENSG00000284498	hsa-mir-564	MIR564
ENSG00000221585	hsa-mir-1226	MIR1226
ENSG00000265483	hsa-mir-4443	MIR4443
ENSG00000252466	hsa-mir-2115	MIR2115
ENSG00000278799	hsa-mir-6823	MIR6823
ENSG00000284251	hsa-mir-711	MIR711
ENSG00000284364	hsa-mir-6824	MIR6824
ENSG00000284575	hsa-mir-4793	MIR4793
ENSG00000199032	hsa-mir-425	MIR425
ENSG00000207605	hsa-mir-191	MIR191
ENSG00000284488	hsa-mir-6890	MIR6890
ENSG00000264633	hsa-mir-4271	MIR4271
ENSG00000283726	hsa-mir-5193	MIR5193
ENSG00000275334	hsa-mir-5787	MIR5787
ENSG00000283848	hsa-mir-6872	MIR6872
ENSG00000272543	hsa-mir-4787	MIR4787
ENSG00000199150	hsa-let-7g	MIRLET7G
ENSG00000207926	hsa-mir-135a-1	MIR135A1
ENSG00000275789	hsa-mir-8064	MIR8064
ENSG00000264013	hsa-mir-3938	MIR3938
ENSG00000281426	hsa-mir-548bb	MIR548BB
ENSG00000283298	hsa-mir-4272	MIR4272
ENSG00000265355	hsa-mir-3136	MIR3136
ENSG00000221264	hsa-mir-1284	MIR1284
ENSG00000266780	hsa-mir-4444-2	MIR4444-2
ENSG00000283894	hsa-mir-1324	MIR1324
ENSG00000266396	hsa-mir-4273	MIR4273
ENSG00000265193	hsa-mir-3923	MIR3923
ENSG00000264084	hsa-mir-5688	MIR5688
ENSG00000264119	hsa-mir-4795	MIR4795
ENSG00000278103	hsa-mir-8060	MIR8060
ENSG00000264897	hsa-mir-3921	MIR3921
ENSG00000265328	hsa-mir-548ab	MIR548AB
